,Unnamed: 0,Path,Upper,Lower,pred
6534,6534,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-58.jpg,"40.6852269172668, -74.4205498695374","40.6734788417816, -74.4092738628387",1
6535,6535,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-59.jpg,"40.6734788417816, -74.4205498695374","40.6617307662964, -74.4092738628387",0
6536,6536,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-6.jpg,"41.2961268424988, -74.4205498695374","41.2843787670135, -74.4092738628387",0
6537,6537,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-60.jpg,"40.6617307662964, -74.4205498695374","40.6499826908112, -74.4092738628387",0
6538,6538,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-61.jpg,"40.6499826908112, -74.4205498695374","40.6382346153259, -74.4092738628387",0
6539,6539,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-62.jpg,"40.6382346153259, -74.4205498695374","40.6264865398407, -74.4092738628387",0
6540,6540,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-63.jpg,"40.6264865398407, -74.4205498695374","40.6147384643555, -74.4092738628387",0
6541,6541,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-64.jpg,"40.6147384643555, -74.4205498695374","40.6029903888702, -74.4092738628387",0
6542,6542,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-65.jpg,"40.6029903888702, -74.4205498695374","40.591242313385, -74.4092738628387",3
6543,6543,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-66.jpg,"40.591242313385, -74.4205498695374","40.5794942378998, -74.4092738628387",0
6544,6544,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-67.jpg,"40.5794942378998, -74.4205498695374","40.5677461624146, -74.4092738628387",0
6545,6545,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-68.jpg,"40.5677461624146, -74.4205498695374","40.5559980869293, -74.4092738628387",0
6546,6546,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-69.jpg,"40.5559980869293, -74.4205498695374","40.5442500114441, -74.4092738628387",0
6547,6547,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-7.jpg,"41.2843787670135, -74.4205498695374","41.2726306915283, -74.4092738628387",0
